Date,Product,SKU,Quantity,Unit Type,Price Per Unit ($),Multiplier,Owner,Repository Slug,Username,Actions Workflow,Notes
2023-08-01,Actions,Compute - UBUNTU,4719,minute,0.008,1.0,owner-316,repo-604,user-296,.github/workflows/workflow-874.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU,148,minute,0.008,1.0,owner-879,repo-714,user-317,.github/workflows/workflow-269.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-569,user-65,.github/workflows/workflow-327.yml,notes-2325
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-267,user-715,.github/workflows/workflow-327.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-423,user-715,.github/workflows/workflow-985.yml,notes-7642
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-683,user-506,.github/workflows/workflow-387.yml,notes-2467
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-692,user-715,.github/workflows/workflow-985.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-736,user-715,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-411,user-715,.github/workflows/workflow-327.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-968,user-715,.github/workflows/workflow-985.yml,notes-2315
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-933,user-715,.github/workflows/workflow-327.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-516,user-715,.github/workflows/workflow-327.yml,notes-9569
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-362,user-693,.github/workflows/workflow-327.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-795,user-65,.github/workflows/workflow-985.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-649,user-715,.github/workflows/workflow-327.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU,269,minute,0.008,1.0,owner-316,repo-604,user-296,.github/workflows/workflow-222.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-767,user-715,.github/workflows/workflow-327.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-845,user-53,.github/workflows/workflow-41.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-405,user-715,.github/workflows/workflow-985.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-83,user-715,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-589,user-624,.github/workflows/workflow-985.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-783,user-826,.github/workflows/workflow-425.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-378,user-673,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-704,user-715,.github/workflows/workflow-985.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU,2,minute,0.008,1.0,owner-88,repo-983,user-171,.github/workflows/workflow-133.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,15,minute,0.008,1.0,owner-316,repo-499,user-971,.github/workflows/workflow-710.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-767,user-715,.github/workflows/workflow-985.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-910,user-715,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,15,minute,0.008,1.0,owner-316,repo-657,user-399,.github/workflows/workflow-710.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-694,user-715,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-517,user-65,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-899,user-926,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-248,user-673,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-332,user-673,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-646,user-715,.github/workflows/workflow-985.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU,4,minute,0.008,1.0,owner-316,repo-954,user-650,.github/workflows/workflow-710.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-137,user-673,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-433,user-715,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-434,user-715,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-659,repo-818,user-705,.github/workflows/workflow-133.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,6,minute,0.008,1.0,owner-88,repo-61,user-800,.github/workflows/workflow-133.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-428,user-308,.github/workflows/workflow-985.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-604,user-715,.github/workflows/workflow-985.yml,notes-2354
2023-08-01,Actions,Compute - UBUNTU,10,minute,0.008,1.0,owner-316,repo-349,user-399,.github/workflows/workflow-710.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-683,user-506,.github/workflows/workflow-66.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,2,minute,0.008,1.0,owner-88,repo-554,user-482,.github/workflows/workflow-133.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-986,user-715,.github/workflows/workflow-985.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU_4_CORE,1,minute,0.016,1.0,owner-316,repo-459,user-715,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-566,user-308,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,4,minute,0.008,1.0,owner-88,repo-52,user-482,.github/workflows/workflow-133.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,1,minute,0.008,1.0,owner-316,repo-707,user-513,.github/workflows/workflow-327.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,4,minute,0.008,1.0,owner-316,repo-208,user-624,.github/workflows/workflow-710.yml,notes-7193
2023-08-01,Actions,Compute - UBUNTU,8,minute,0.008,1.0,owner-316,repo-898,user-399,.github/workflows/workflow-710.yml,notes-7193